time	V(n001)	V(n003)	I(R1)
1.592381392842973e-03	9.171616e-01	8.967727e-01	7.473106e-04
1.602147017842973e-03	9.590467e-01	9.428685e-01	7.857238e-04
1.611912642842972e-03	9.865068e-01	9.747787e-01	8.123156e-04
1.621678267842972e-03	9.991289e-01	9.920922e-01	8.267435e-04
1.631264767667054e-03	9.969028e-01	9.945042e-01	8.287535e-04
1.641030392667054e-03	9.797787e-01	9.820685e-01	8.183904e-04
1.650796017667054e-03	9.479179e-01	9.549266e-01	7.957721e-04
1.660561642667054e-03	9.017995e-01	9.134179e-01	7.611816e-04
1.670327267667054e-03	8.421172e-01	8.581667e-01	7.151390e-04
1.680092892667053e-03	7.697687e-01	7.900041e-01	6.583368e-04
1.689858517667053e-03	6.858421e-01	7.099553e-01	5.916294e-04
1.699624142667053e-03	5.915998e-01	6.192244e-01	5.160203e-04
1.709389767667053e-03	4.884593e-01	5.191761e-01	4.326467e-04
1.719155392667053e-03	3.779719e-01	4.113151e-01	3.427626e-04
1.728921017667052e-03	2.617995e-01	2.972640e-01	2.477200e-04
1.738686642667052e-03	1.416894e-01	1.787381e-01	1.489485e-04
1.748452267667052e-03	1.944815e-02	5.752026e-02	4.793355e-05
1.758217892667052e-03	-1.030856e-01	-6.456634e-02	-5.380528e-05
1.767983517667051e-03	-2.240689e-01	-1.856853e-01	-1.547378e-04
1.777749142667051e-03	-3.416820e-01	-3.040150e-01	-2.533458e-04
1.787514767667051e-03	-4.541558e-01	-4.177754e-01	-3.481462e-04
1.797280392667051e-03	-5.597988e-01	-5.252556e-01	-4.377130e-04
1.807046017667051e-03	-6.570218e-01	-6.248388e-01	-5.206990e-04
1.816811642667050e-03	-7.443627e-01	-7.150273e-01	-5.958561e-04
1.826577267667050e-03	-8.205075e-01	-7.944645e-01	-6.620538e-04
1.836342892667050e-03	-8.843113e-01	-8.619555e-01	-7.182963e-04
1.846108517667050e-03	-9.348141e-01	-9.164852e-01	-7.637377e-04
1.855874142667050e-03	-9.712565e-01	-9.572335e-01	-7.976946e-04
1.865639767667049e-03	-9.930903e-01	-9.843556e-01	-8.202964e-04
1.873394482290243e-03	-9.997965e-01	-9.951454e-01	-8.292878e-04
1.881903190382650e-03	-9.962397e-01	-9.950364e-01	-8.291970e-04
1.891668815382649e-03	-9.781420e-01	-9.812059e-01	-8.176715e-04
1.901434440382649e-03	-9.453321e-01	-9.531052e-01	-7.942544e-04
1.911200065382649e-03	-8.983034e-01	-9.106728e-01	-7.588940e-04
1.920965690382649e-03	-8.377635e-01	-8.545462e-01	-7.121218e-04
1.930731315382649e-03	-7.646229e-01	-7.855695e-01	-6.546412e-04
1.940496940382648e-03	-6.799816e-01	-7.047801e-01	-5.873168e-04
1.950262565382648e-03	-5.851127e-01	-6.133931e-01	-5.111609e-04
1.960028190382648e-03	-4.814432e-01	-5.127831e-01	-4.273192e-04
1.969793815382648e-03	-3.705324e-01	-4.044632e-01	-3.370527e-04
1.979559440382648e-03	-2.540483e-01	-2.900627e-01	-2.417189e-04
1.989325065382647e-03	-1.337432e-01	-1.713023e-01	-1.427519e-04
1.999090690382647e-03	-1.142647e-02	-4.996812e-02	-4.164010e-05
2.008856315382647e-03	1.110621e-01	7.211476e-02	6.009563e-05
2.018621940382647e-03	2.318803e-01	1.931102e-01	1.609251e-04
2.028387565382647e-03	3.492107e-01	3.111983e-01	2.593319e-04
2.038153190382646e-03	4.612887e-01	4.246029e-01	3.538357e-04
2.047918815382646e-03	5.664285e-01	5.316184e-01	4.430153e-04
2.057684440382646e-03	6.630486e-01	6.306351e-01	5.255292e-04
2.067450065382646e-03	7.496960e-01	7.201638e-01	6.001365e-04
2.077215690382645e-03	8.250671e-01	7.988579e-01	6.657149e-04
2.086981315382645e-03	8.880285e-01	8.655338e-01	7.212781e-04
2.096746940382645e-03	9.376332e-01	9.191886e-01	7.659905e-04
2.106512565382645e-03	9.731349e-01	9.590154e-01	7.991795e-04
2.116278190382645e-03	9.939998e-01	9.850308e-01	8.208590e-04
2.124434020123375e-03	9.999747e-01	9.955202e-01	8.296001e-04
2.132289632769744e-03	9.958073e-01	9.946648e-01	8.288874e-04
2.142055257769743e-03	9.771207e-01	9.799972e-01	8.166643e-04
2.151820882769743e-03	9.437373e-01	9.513229e-01	7.927691e-04
2.161586507769743e-03	8.961592e-01	9.083380e-01	7.569484e-04
2.171352132769743e-03	8.351020e-01	8.516886e-01	7.097404e-04
2.181117757769743e-03	7.614841e-01	7.822264e-01	6.518554e-04
2.190883382769742e-03	6.764129e-01	7.009965e-01	5.841637e-04
2.200649007769742e-03	5.811677e-01	6.092203e-01	5.076836e-04
2.210414632769742e-03	4.771812e-01	5.082785e-01	4.235654e-04
2.220180257769742e-03	3.660175e-01	3.996893e-01	3.330744e-04
2.229945882769742e-03	2.493485e-01	2.850859e-01	2.375716e-04
2.239711507769741e-03	1.289291e-01	1.661922e-01	1.384935e-04
2.249477132769741e-03	6.570496e-03	4.479642e-02	3.733035e-05
2.259242757769741e-03	-1.158869e-01	-7.727550e-02	-6.439626e-05
2.269008382769741e-03	-2.366014e-01	-1.981875e-01	-1.651562e-04
2.278774007769740e-03	-3.537571e-01	-3.161208e-01	-2.634340e-04
2.288539632769740e-03	-4.655919e-01	-4.293017e-01	-3.577515e-04
2.298305257769740e-03	-5.704238e-01	-5.360278e-01	-4.466899e-04
2.308070882769740e-03	-6.666760e-01	-6.346939e-01	-5.289116e-04
2.317836507769740e-03	-7.529008e-01	-7.238157e-01	-6.031798e-04
2.327602132769739e-03	-8.278013e-01	-8.020530e-01	-6.683775e-04
2.337367757769739e-03	-8.902509e-01	-8.682288e-01	-7.235240e-04
2.347133382769739e-03	-9.393102e-01	-9.213479e-01	-7.677899e-04
2.356899007769739e-03	-9.742414e-01	-9.606112e-01	-8.005094e-04
2.366664632769739e-03	-9.945192e-01	-9.862796e-01	-8.218997e-04
2.374204368790645e-03	-9.999500e-01	-9.958407e-01	-8.298673e-04
2.382204270294317e-03	-9.959048e-01	-9.949721e-01	-8.291434e-04
2.391969895294317e-03	-9.773483e-01	-9.804871e-01	-8.170726e-04
2.401735520294317e-03	-9.440914e-01	-9.519376e-01	-7.932813e-04
2.411501145294316e-03	-8.966346e-01	-9.090728e-01	-7.575607e-04
2.421266770294316e-03	-8.356916e-01	-8.525370e-01	-7.104475e-04
2.431032395294316e-03	-7.621790e-01	-7.831802e-01	-6.526501e-04
2.440798020294316e-03	-6.772025e-01	-7.020456e-01	-5.850380e-04
2.450563645294316e-03	-5.820403e-01	-6.103535e-01	-5.086280e-04
2.460329270294315e-03	-4.781236e-01	-5.094830e-01	-4.245692e-04
2.470094895294315e-03	-3.670155e-01	-4.009514e-01	-3.341262e-04
2.479860520294315e-03	-2.503872e-01	-2.863910e-01	-2.386591e-04
2.489626145294315e-03	-1.299928e-01	-1.675248e-01	-1.396040e-04
2.499391770294315e-03	-7.643166e-03	-4.614069e-02	-3.845058e-05
2.509157395294314e-03	1.148214e-01	7.593554e-02	6.327962e-05
2.518923020294314e-03	2.355590e-01	1.968678e-01	1.640565e-04
2.528688645294314e-03	3.527535e-01	3.148372e-01	2.623644e-04
2.538454270294314e-03	4.646423e-01	4.280694e-01	3.567245e-04
2.548219895294314e-03	5.695424e-01	5.348613e-01	4.457177e-04
2.557985520294313e-03	6.658762e-01	6.336065e-01	5.280054e-04
2.567751145294313e-03	7.521944e-01	7.228200e-01	6.023500e-04
2.577516770294313e-03	8.271990e-01	8.011599e-01	6.676333e-04
2.587282395294313e-03	8.897617e-01	8.674479e-01	7.228732e-04
2.597048020294312e-03	9.389417e-01	9.206869e-01	7.672391e-04
2.606813645294312e-03	9.739990e-01	9.600763e-01	8.000635e-04
2.616579270294312e-03	9.944065e-01	9.855670e-01	8.213058e-04
2.624924252703537e-03	9.999995e-01	9.958834e-01	8.299028e-04
2.632471846126369e-03	9.955952e-01	9.947182e-01	8.289319e-04
2.642237471126368e-03	9.766311e-01	9.796540e-01	8.163783e-04
2.652003096126368e-03	9.429776e-01	9.507076e-01	7.922563e-04
2.661768721126368e-03	8.951408e-01	9.074607e-01	7.562173e-04
2.671534346126368e-03	8.338403e-01	8.505633e-01	7.088028e-04
2.681299971126368e-03	7.599980e-01	7.808710e-01	6.507259e-04
2.691065596126367e-03	6.747246e-01	6.994321e-01	5.828601e-04
2.700831221126367e-03	5.793028e-01	6.074713e-01	5.062261e-04
2.710596846126367e-03	4.751677e-01	5.063721e-01	4.219768e-04
2.720362471126367e-03	3.638857e-01	3.976550e-01	3.313791e-04
2.730128096126366e-03	2.471304e-01	2.829551e-01	2.357959e-04
2.739893721126366e-03	1.266581e-01	1.639977e-01	1.366648e-04
2.749659346126366e-03	4.280770e-03	4.257209e-02	3.547674e-05
2.759424971126366e-03	-1.181610e-01	-7.949542e-02	-6.624618e-05
2.769190596126366e-03	-2.388255e-01	-2.003688e-01	-1.669740e-04
2.778956221126365e-03	-3.558978e-01	-3.182300e-01	-2.651917e-04
2.788721846126365e-03	-4.676171e-01	-4.313062e-01	-3.594218e-04
2.798487471126365e-03	-5.723030e-01	-5.378967e-01	-4.482472e-04
2.808253096126365e-03	-6.683810e-01	-6.363982e-01	-5.303319e-04
2.818018721126365e-03	-7.544058e-01	-7.253292e-01	-6.044410e-04
2.827784346126364e-03	-8.290837e-01	-8.033520e-01	-6.694600e-04
2.837549971126364e-03	-8.912914e-01	-8.692932e-01	-7.244110e-04
2.847315596126364e-03	-9.400933e-01	-9.221608e-01	-7.684673e-04
2.857081221126364e-03	-9.747553e-01	-9.611596e-01	-8.009664e-04
2.866846846126364e-03	-9.947560e-01	-9.861826e-01	-8.218189e-04
2.875359922286253e-03	-9.999897e-01	-9.961764e-01	-8.301470e-04
2.883086067357289e-03	-9.948419e-01	-9.943959e-01	-8.286632e-04
2.892851692357289e-03	-9.749432e-01	-9.784635e-01	-8.153863e-04
2.902617317357289e-03	-9.403803e-01	-9.486011e-01	-7.905010e-04
2.912382942357288e-03	-8.916734e-01	-9.044727e-01	-7.537273e-04
2.922148567357288e-03	-8.295548e-01	-8.467417e-01	-7.056181e-04
2.931914192357288e-03	-7.549589e-01	-7.762762e-01	-6.468968e-04
2.941679817357288e-03	-6.690078e-01	-6.941360e-01	-5.784467e-04
2.951445442357288e-03	-5.729942e-01	-6.015567e-01	-5.012972e-04
2.961211067357287e-03	-4.683621e-01	-4.999306e-01	-4.166088e-04
2.970976692357287e-03	-3.566855e-01	-3.907863e-01	-3.256553e-04
2.980742317357287e-03	-2.396440e-01	-2.757655e-01	-2.298046e-04
2.990507942357287e-03	-1.189981e-01	-1.565981e-01	-1.304984e-04
3.000273567357287e-03	3.437742e-03	-3.507657e-02	-2.923048e-05
3.010039192357286e-03	1.258218e-01	8.697139e-02	7.247616e-05
3.019804817357286e-03	2.463135e-01	2.077100e-01	1.730917e-04
3.029570442357286e-03	3.631003e-01	3.253233e-01	2.711028e-04
3.039336067357286e-03	4.744258e-01	4.380423e-01	3.650353e-04
3.049101692357285e-03	5.786154e-01	5.441716e-01	4.534763e-04
3.058867317357285e-03	6.741022e-01	6.421149e-01	5.350957e-04
3.068632942357285e-03	7.594498e-01	7.303990e-01	6.086658e-04
3.078398567357285e-03	8.333746e-01	8.076961e-01	6.730801e-04
3.088164192357285e-03	8.947647e-01	8.728436e-01	7.273697e-04
3.097929817357284e-03	9.426966e-01	9.248616e-01	7.707180e-04
3.107695442357284e-03	9.764495e-01	9.629678e-01	8.024731e-04
3.117461067357284e-03	9.955158e-01	9.865888e-01	8.221574e-04
3.127226692357284e-03	9.996085e-01	9.957026e-01	8.297521e-04
3.136125581864894e-03	9.902427e-01	9.906639e-01	8.255533e-04
3.145891206864894e-03	9.657373e-01	9.705710e-01	8.088092e-04
3.155656831864894e-03	9.267064e-01	9.362119e-01	7.801765e-04
3.165422456864893e-03	8.737369e-01	8.877702e-01	7.398085e-04
3.175188081864893e-03	8.076255e-01	8.259746e-01	6.883121e-04
3.184953706864893e-03	7.293667e-01	7.517545e-01	6.264620e-04
3.194719331864893e-03	6.401376e-01	6.662262e-01	5.551885e-04
3.204484956864893e-03	5.412802e-01	5.706763e-01	4.755636e-04
3.214250581864892e-03	4.342815e-01	4.665418e-01	3.887849e-04
3.224016206864892e-03	3.207507e-01	3.553891e-01	2.961576e-04
3.233781831864892e-03	2.023956e-01	2.388900e-01	1.990750e-04
3.243547456864892e-03	8.099622e-02	1.187968e-01	9.899732e-05
3.253313081864891e-03	-4.162139e-02	-3.084258e-03	-2.570214e-06
3.263078706864891e-03	-1.636130e-01	-1.249199e-01	-1.040999e-04
3.272844331864891e-03	-2.831437e-01	-2.448776e-01	-2.040647e-04
3.282609956864891e-03	-3.984156e-01	-3.611531e-01	-3.009609e-04
3.292375581864891e-03	-5.076950e-01	-4.719975e-01	-3.933312e-04
3.302141206864890e-03	-6.093382e-01	-5.757435e-01	-4.797863e-04
3.311906831864890e-03	-7.018164e-01	-6.708308e-01	-5.590257e-04
3.321672456864890e-03	-7.837387e-01	-7.558291e-01	-6.298576e-04
3.331438081864890e-03	-8.538727e-01	-8.294600e-01	-6.912166e-04
3.341203706864890e-03	-9.111637e-01	-8.906159e-01	-7.421799e-04
3.350969331864889e-03	-9.547500e-01	-9.383770e-01	-7.819809e-04
3.360734956864889e-03	-9.839759e-01	-9.720250e-01	-8.100209e-04
3.370500581864889e-03	-9.984019e-01	-9.910538e-01	-8.258782e-04
3.380266206864889e-03	-9.978111e-01	-9.951771e-01	-8.293142e-04
3.390031831864889e-03	-9.822122e-01	-9.843328e-01	-8.202774e-04
3.399797456864888e-03	-9.518400e-01	-9.586842e-01	-7.989035e-04
3.409563081864888e-03	-9.071512e-01	-9.186170e-01	-7.655141e-04
3.419328706864888e-03	-8.488179e-01	-8.647337e-01	-7.206114e-04
3.429094331864888e-03	-7.777177e-01	-7.978449e-01	-6.648707e-04
3.438859956864888e-03	-6.949199e-01	-7.189566e-01	-5.991305e-04
3.448625581864887e-03	-6.016698e-01	-6.292554e-01	-5.243795e-04
3.458391206864887e-03	-4.993700e-01	-5.300905e-01	-4.417420e-04
3.468156831864887e-03	-3.895593e-01	-4.229533e-01	-3.524611e-04
3.477922456864887e-03	-2.738892e-01	-3.094553e-01	-2.578794e-04
3.487688081864886e-03	-1.540996e-01	-1.913037e-01	-1.594197e-04
3.497453706864886e-03	-3.199220e-02	-7.027546e-02	-5.856289e-05
3.507219331864886e-03	9.059641e-02	5.180895e-02	4.317413e-05
3.516984956864886e-03	2.118224e-01	1.731133e-01	1.442611e-04
3.526750581864886e-03	3.298623e-01	2.918131e-01	2.431776e-04
3.536516206864885e-03	4.429408e-01	4.061230e-01	3.384358e-04
3.546281831864885e-03	5.493571e-01	5.143236e-01	4.286030e-04
3.556047456864885e-03	6.475105e-01	6.147875e-01	5.123229e-04
3.565813081864885e-03	7.359248e-01	7.060037e-01	5.883364e-04
3.575578706864885e-03	8.132701e-01	7.866002e-01	6.555002e-04
3.585344331864884e-03	8.783830e-01	8.553647e-01	7.128040e-04
3.595109956864884e-03	9.302843e-01	9.112630e-01	7.593859e-04
3.604875581864884e-03	9.681932e-01	9.534544e-01	7.945453e-04
3.614641206864884e-03	9.915395e-01	9.820263e-01	8.183552e-04
3.622513901944725e-03	9.995120e-01	9.939654e-01	8.283044e-04
3.631575709335348e-03	9.965879e-01	9.947541e-01	8.289618e-04
3.641341334335348e-03	9.789894e-01	9.816383e-01	8.180319e-04
3.651106959335348e-03	9.466661e-01	9.540291e-01	7.950243e-04
3.660872584335347e-03	9.001040e-01	9.120702e-01	7.600585e-04
3.670638209335347e-03	8.400035e-01	8.563924e-01	7.136603e-04
